One Address,0xAddress,StakedWei,StakedONE
one1j4kml3yqwlgurm4f7nwjcsuecu78f0n5y3lm8w,0x956dbfC48077d1C1EeA9F4DD2C4399c73c74BE74,4642217429504570172620000,"4,642,217"
one1qm52lvursg036ly7zmmk4wstpfvnawncs45zvm,0x06E8aFb383821f1d7c9e16F76aBa0b0a593eBA78,44045198357868706564722512,"44,045,198"
one1prz9j6c406h6uhkyurlx9yq9h2e2zrpasr2saf,0x08c4596B157EafAE5EC4E0fE629005Bab2a10C3D,5555777503914474505590000,"5,555,778"
one1f0pq9llvxlqqkfa0n98feuq2yw4yzdelrj37ny,0x4bC202FfeC37C00b27AF994e9cf00A23aa41373f,9651272203671094644300000,"9,651,272"
one1dc6ejsxvuldaz3zy5yvwk6dhuk50ke4xn6g5k3,0x6e359940cCe7dBD14444a118EB69b7E5a8FB66a6,443970544627996563200000,"443,971"
one1y7d2cacm5f27cu5yqwl4mgeredjvtc5cz0gq26,0x279aaC771Ba255EC728403BF5dA323Cb64C5E298,5050920915271964914520000,"5,050,921"
one10rcp99jqrtdg7jtkwzf7xfp85thef08fu44vrf,0x78f01296401AdA8f49767093E32427A2ef94BCE9,22648878912316000000000000,"22,648,879"
one18wmk2xnd40r60kqa9v2pt6v96frpupdwgc594x,0x3bb7651a6DAbC7A7D81d2b1415E985D2461e05AE,3762926865906670886700000,"3,762,927"
one1q5n5t3zr5dr3v7rkpzmcmxta6fdjz3k5kxqtg7,0x052745C443A34716787608B78D997DD25b2146D4,12118902717925068733360000,"12,118,903"
one1fctfss8dr7prn602gnquf6xmdrphgftdfrca8x,0x4e169840Ed1f8239e9Ea44C1c4e8db68C374256D,39222950627382612730068530,"39,222,951"
one1v0n7nw6c4fe88xnuasr0d65luult0fvclvvxmf,0x63e7E9BB58aA72739a7CEc06f6EA9Fe73eb7A598,103567875196653008862060799,"103,567,875"
one1vcye9qvlgjrpfmsv0k925x3fq2z4c26nhefx9k,0x660992819f448614EE0C7D8aaA1A2902855c2b53,14537425705352504448296590,"14,537,426"
one18julyys26h67r4vq3zexzpfmvt9vpn0g75phmu,0x3cb9F2120Ad5F5E1d58088b261053B62CaC0cdE8,12588158647221221970856478,"12,588,159"
one1ngu5s3cwknz7e0ekqxjcx0a2exd36hj7klc50s,0x9a3948470eB4c5ecbf3601a5833fAAc99B1d5e5e,10000000000000000000000,"10,000"
one1n73axkgqdgwd3a7ww0d2kplpqj5yqeeh3we730,0x9Fa3D359006a1cd8F7Ce73DAaB07E104A8406737,10000000000000000000000,"10,000"
one1f08pfvn0refxv22kkrmgx59yucyu3e7rm3nl0m,0x4Bce14B26f1E52662956B0f68350A4E609C8e7c3,8720819690968790635950000,"8,720,820"
one18tqmmmk9unza5k6anz888wgf08uvk0fn6amzf0,0x3aC1BdEeC5E4C5da5B5d988E73B90979F8CB3D33,10000000000000000000000,"10,000"
one1268nfdmaeccm8syy7e4ts4zfs0qagkcctlrw20,0x568f34b77dcE31b3C084F66Ab8544983c1d45B18,6871791750446057821764634,"6,871,792"
one1ugkhyhj326g6wetjp8pdanepm2fy6q75shcawe,0xe22D725E515691A7657209C2DECf21da924d03d4,10295287961614000000000000,"10,295,288"
one1pzr8wk7lu040ysw72pfwt5rlpx3eqrugwakk8k,0x0886775BdFE3eAF241De5052e5d07F09a3900F88,6977181647357813687900000,"6,977,182"
one1d2x9gdjz975pxa296mzmuq5fa5zg2ujd3dmjmq,0x6A8C5436422fA8137545D6C5BE0289eD0485724D,10000000000000000000000,"10,000"
one169pe3q35m7g30a965q94lr222mtyu4h2jdtwm9,0xd143988234dF9117f4Baa00b5f8D4A56d64e56eA,96746098678252181614989594,"96,746,099"
one1fpuqwj04m2l088z4fzt8zaj2l6cqndpjrns0uy,0x48780749F5dAbef39C55489671764aFEb009B432,11000000000000000000000,"11,000"
one1lawdvg2ucwzjtpcj7405wa8q5xuc80lwcjv099,0xfF5cD6215cc385258712F55F4774e0a1B983bFEe,14080027817458576675292361,"14,080,028"
one1j34kvpa66hzqmf4ywa2cyhwn4se2a03lvhxv4n,0x946B6607baD5C40dA6A47755825Dd3AC32aEbE3F,4204051370461617059990000,"4,204,051"
one1xk7q2mu084854shgl75kp9zm7l20qfltrje4ey,0x35BC056F8f3D4F4aC2e8ffA960945bf7D4f027Eb,3868447052495479447117372,"3,868,447"
one1c2rtqwsqs65cput3q9yaejp3dxjwct207we9hm,0xC286b03a0086a980F1710149dCc83169a4Ec2D4F,10001000000000000000000,"10,001"
